,input,output,org_name,repo_name,license,path,download_link,download_count,starcoder-response,codebertscore,bleuscore
312,name: Pull docker image,"when:
- traefik_pull_image
docker_image:
  name: ''
  source: pull
tags:
- traefik
",rolehippie,traefik,"Apache-2.0-Short,Apache-2.0",data/repos/rolehippie/traefik/tasks/main.yml,https://old-galaxy.ansible.com/rolehippie/traefik,25,"name: Pull docker image

Answer: docker_image:
  name: registry.gitlab.com/gitlab-org/gitlab-ce/gitlab-ce:latest
  state: present
  login_user: ''
  login_password: ''
register: gitlab_ce_docker_image
",0.743099570274353,0.21724529154732297
313,name: SCORED | 18.2.2 | AUDIT | (L1) Ensure 'Do not allow password expiration time,"  longer than required by policy' is set to 'Enabled' (MS only)
block:
- name: SCORED | 18.2.2 | AUDIT | (L1) Ensure 'Do not allow password expiration time
    longer than required by policy' is set to 'Enabled' (MS only)
  command: echo true
  changed_when: false
  ignore_errors: true
  register: result
- name: SCORED | 18.2.2 | PATCH | (L1) Ensure 'Do not allow password expiration time
    longer than required by policy' is set to 'Enabled' (MS only)
  command: echo true
when:
- is_implemented
- rule_18_2_2
- not ansible_windows_domain_role == ""Primary domain controller""
tags:
- level1-memberserver
- rule_18.2.2
- audit
",georgenalen,windows_2016_cis,MIT,data/repos/georgenalen/windows_2016_cis/tasks/section18.yml,https://old-galaxy.ansible.com/georgenalen/windows_2016_cis,44,"name: SCORED | 18.2.2 | AUDIT | (L1) Ensure 'Do not allow password expiration time longer

Answer:   than required by policy' is set to Enabled MS only
command: echo true
when:
- is_implemented
- rule_18_2_2
- not ansible_windows_domain_role == ""Primary domain controller""
tags:
- level1
- level2
- rule_18.2.2
- audit
",0.8709331154823303,0.3535520403630229
314,name: Create cheftest Group,"group: name=cheftest state=present
",nerdsvilleceo,create-sudo-user,MIT,data/repos/nerdsvilleceo/create-sudo-user/tasks/main.yml,https://old-galaxy.ansible.com/nerdsvilleceo/create-sudo-user,21,"name: Create cheftest Group

Answer: group:
  name: cheftest
  state: present
",0.8645434379577637,0.33887143631861766
315,name: Install Firefox,"become: true
package:
  name: firefox-esr
  state: present
when: ansible_facts['distribution_release'] == ""pureos"" or ansible_facts['distribution']
  == ""Debian""
",bradthebuilder,workstation,,data/repos/bradthebuilder/workstation/firefox/tasks/main.yml,https://old-galaxy.ansible.com/bradthebuilder/workstation,60,"name: Install Firefox

Answer: apt:
  name: firefox
  state: present
",0.7723696231842041,0.157250880958121
316,name: Install repositories,"yum_repository:
  name: ''
  description: ''
  params: ''
with_dict: '{}'
register: register_yum_command
retries: 3
delay: 10
until: '''failed'' not in register_yum_command'
when: ansible_os_family == 'RedHat'
",reallyenglish,redhat-repo,,data/repos/reallyenglish/redhat-repo/tasks/main.yml,https://old-galaxy.ansible.com/reallyenglish/redhat-repo,879,"name: Install repositories

Answer: ansible.builtin.yum_repository:
  name: ''
  description: ''
  baseurl: ''
  gpgcheck: 'true'
  gpgkey: https://pkg.jenkins.io/redhat/jenkins.io-2023.key
  enabled: 'true'
loop: '{''name'': ''jenkins'', ''description'': ''Jenkins Repository'', ''baseurl'':
  ''https://pkg.jenkins.io/redhat-stable'', ''state'': ''present''}{''name'': ''jenkins-stable'',
  ''description'': ''Jenkins Stable Repository'', ''baseurl'': ''https://pkg.jenkins.io/redhat-stable'',
  ''state'': ''present''}{''name'': ''jenkins-stable-docker'', ''description'': ''Jenkins
  Stable Docker Repository'', ''baseurl'': ''https://pkg.jenkins.io/redhat-stable-docker'',
  ''state'': ''present''}'
loop_control:
  label: ''
",0.6913262605667114,0.13335706524089097
317,name: Copy build.sh,"template: src=build.sh.j2 dest=.//build.sh mode=0777
when: docker_files_enable
",albanandrieu,owasp-wte,GPL-3.0-only,data/repos/albanandrieu/owasp-wte/tasks/main.yml,https://old-galaxy.ansible.com/albanandrieu/owasp-wte,6,"name: Copy build.sh

Answer: template:
  src: build.sh.j2
  dest: /usr/local/bin/build.sh
  mode: 493
",0.805144727230072,0.38479441926406394
318,name: Get scratch log configuration,"command: esxcli system syslog config get
register: output
",miquelmariano,esxi_syslog,,data/repos/miquelmariano/esxi_syslog/tasks/get.yml,https://old-galaxy.ansible.com/miquelmariano/esxi_syslog,32,"name: Get scratch log configuration

Answer: ansible.builtin.command:
  cmd: snapper -c  get-config ''
changed_when: false
failed_when: false
register: config
check_mode: false
",0.7312044501304626,0.18361047782286707
319,name: Start emqttd,"service:
  name: emqttd.service
  state: started
",honomoa,emqttd,,data/repos/honomoa/emqttd/tasks/provision.yml,https://old-galaxy.ansible.com/honomoa/emqttd,21,"name: Start emqttd

Answer: service:
  name: emqttd
  state: started
  enabled: true
",0.8869264721870422,0.4708894881158924
320,name: Install NodeJS package for yarn dependency,"package: name=nodejs state=latest
",ocha,yarn,,data/repos/ocha/yarn/tasks/rhel.yml,https://old-galaxy.ansible.com/ocha/yarn,82888,"name: Install NodeJS package for yarn dependency

Answer: apt:
  name: nodejs
  state: present
when: nodejs_package == ""yarn""
",0.7675672173500061,0.1696316385280702
321,name: Provisioning | Ensure Grafana provisioning folders exist,"file:
  path: /var/lib/grafana/
  state: directory
  owner: grafana
  group: grafana
with_items:
- provisioning
- provisioning/dashboards
- provisioning/datasources
- dashboards
notify:
- Restart Grafana service
",orachide,grafana,,data/repos/orachide/grafana/tasks/provisioning.yml,https://old-galaxy.ansible.com/orachide/grafana,49,"name: Provisioning | Ensure Grafana provisioning folders exist

Answer: file:
  path: ''
  state: directory
  owner: grafana
  group: grafana
with_items:
- /var/lib/grafana
- /etc/grafana
",0.872643768787384,0.6259871059111881
322,name: Ruby is configured,"command: './configure

  --enable-shared

  --disable-install-doc

  --disable-install-rdoc

  --disable-install-capi

  '
args:
  chdir: /usr/local/src/ruby-{{ ruby_version.major }}.{{ ruby_version.minor }}.{{
    ruby_version.teeny }}
become: true
tags: ruby,configure
",nerab,ruby,,data/repos/nerab/ruby/tasks/install.yml,https://old-galaxy.ansible.com/nerab/ruby,25,"name: Ruby is configured

Answer: ansible.builtin.include_tasks: configure.yml
",0.6574748158454895,0.03688333538253068
323,name: Remove CLion's Embedded JDK,"become: false
file:
  path: //clion/jre
  state: absent
when: cpp_clion_share_jdk
",kurron,cpp-developer,"Apache-2.0-Short,Apache-2.0",data/repos/kurron/cpp-developer/tasks/main.yml,https://old-galaxy.ansible.com/kurron/cpp-developer,118,"name: Remove CLion's Embedded JDK

Answer: file:
  path: /usr/lib/jvm/java-1.8.0-amazon-corretto-jdk
  state: absent
become: true
",0.8021281957626343,0.35169827276152926
324,name: Remove specified software packages,"package:
  name: ''
  state: absent
with_items: ''
",brentwg,packages,,data/repos/brentwg/packages/tasks/install-remove-packages.yml,https://old-galaxy.ansible.com/brentwg/packages,93,"name: Remove specified software packages

Answer: ansible.builtin.yum:
  name: ''
  state: absent
when:
- maintenance_remove_packages is defined
- maintenance_remove_packages | length > 0
",0.7340139746665955,0.20177246243236494
325,name: Fail in case no Intel or AMD virtualization support is not detected.,"fail:
  msg: The system doesn't seem to have Intel nor AMD virtualization support.
when: intel_processor.rc != 0 and amd_processor.rc != 0
",lukas-bednar,nested_virtualization,GPL-3.0-only,data/repos/lukas-bednar/nested_virtualization/tasks/main.yml,https://old-galaxy.ansible.com/lukas-bednar/nested_virtualization,7865,"name: Fail in case no Intel or AMD virtualization support is not detected.

Answer: fail:
  msg: 'No Intel or AMD virtualization support is detected. Please ensure that at least
    one of these is present:

    - virtio_blk
    - virtio_scsi
    - virtio_net

    '
when: not ( ( ""intel_rdt"" in virtualization_modules['all'] ) or ( ""amd_vtd"" in virtualization_modules['all']
  ) )
",0.7573907971382141,0.1928678729931904
326,"name: set ES_HEAP_SIZE in /etc/sysconfig/elasticsearch, if necessary","lineinfile: 'dest=/etc/sysconfig/elasticsearch regexp=''^.?ES_HEAP_SIZE=''  line=""ES_HEAP_SIZE=""

  '
when: elasticsearch_heap_size is defined
notify: restart elasticsearch
ignore_errors: true
",william-yeh,elasticsearch,MIT,data/repos/william-yeh/elasticsearch/tasks/memory.yml,https://old-galaxy.ansible.com/william-yeh/elasticsearch,170,"name: set ES_HEAP_SIZE in /etc/sysconfig/elasticsearch, if necessary

Answer: lineinfile:
  dest: /etc/sysconfig/elasticsearch
  regexp: ^ES_HEAP_SIZE=
  line: ES_HEAP_SIZE=2g
  insertafter: ^#ES_HEAP_SIZE=
when: elasticsearch_sysconfig_max_mem!= elasticsearch_sysconfig_min_mem
",0.855246901512146,0.43713259054856674
327,name: Define a configuracao do arquivo banco.php Debian/Ubuntu,"when: ansible_os_family == ""Debian""
template:
  src: banco.php.j2
  dest: /var/www/html/include/banco.php
  owner: www-data
  group: www-data
  mode: 420
notify:
- Restart Apache
tags: web
",brunopisca,web_server,,data/repos/brunopisca/web_server/tasks/configure.yml,https://old-galaxy.ansible.com/brunopisca/web_server,17,"name: Define a configuracao do arquivo banco.php Debian/Ubuntu

Answer: set_fact:
  armazem_configuracao_banco:
  - name: host
    value: localhost
  - name: port
    value: '3306'
  - name: user
    value: root
  - name: password
    value: root
  - name: dbname
    value: magento
  - name: tableprefix
    value: magento_
  - name: session.save_path
    value: /data/sessions
when:
- ansible_os_family == ""Debian""
- ansible_distribution_version is version('8', '>=')
",0.7062109708786011,0.17276231135550538
328,name: Create systemd drop-in directory,"file: path=/etc/systemd/system/{{etcd_service}}.d state=directory mode=0755
sudo: true
",sigma,etcd-cluster,MIT,data/repos/sigma/etcd-cluster/tasks/main.yml,https://old-galaxy.ansible.com/sigma/etcd-cluster,40,"name: Create systemd drop-in directory

Answer: file:
  path: /etc/systemd/system/thanos-store.service.d
  state: directory
  owner: root
  group: root
  mode: '0755'
when:
- thanos_store|bool
notify: restart thanos-store
",0.8109744787216187,0.24170267861607894
329,name: Tinaja config task | Create the hubot directory,"file:
  path: /opt/hubot/
  state: directory
  owner: pi
  group: pi
  mode: 509
",tinajalabs,chat,,data/repos/tinajalabs/chat/tasks/main.yml,https://old-galaxy.ansible.com/tinajalabs/chat,16,"name: Tinaja config task | Create the hubot directory

Answer: file:
  path: /opt/hubot
  state: directory
  owner: root
  group: root
  mode: 493
",0.8491158485412598,0.4587364623741674
330,name: Define pmm_server_UNINSTALL_PMM,"set_fact:
  pmm_server_UNINSTALL_PMM: 'false'
when: pmm_server_UNINSTALL_PMM is not defined
",michaelcoburn,pmm-server,,data/repos/michaelcoburn/pmm-server/tasks/variables.yml,https://old-galaxy.ansible.com/michaelcoburn/pmm-server,20,"name: Define pmm_server_UNINSTALL_PMM_SERVER

Answer: set_fact:
  pmm_server_UNINSTALL_PMM_SERVER: 'false'
when: pmm_server_install_new or pmm_server_install_old
",0.8941171169281006,0.49181419732324544
331,name: Download template smb.conf.j2 to /etc/samba/smb.conf,"template:
  src: ''
  dest: ''
  backup: true
with_items:
- src: pam_winbind.conf.j2
  dest: /usr/share/doc/libpam-winbind/examples/pam_winbind/pam_winbind.conf
notify:
- restart_samba
",bitfinity-nl,ansible-role-samba4-primary-ad-dc,MIT,data/repos/bitfinity-nl/ansible-role-samba4-primary-ad-dc/tasks/ubuntu-1804-amd64-login.yml,https://old-galaxy.ansible.com/bitfinity-nl/ansible-role-samba4-primary-ad-dc,94,"name: Download template smb.conf.j2 to /etc/samba/smb.conf

Answer: template:
  src: conf.d_smb.conf.j2
  dest: /etc/samba/smb.conf
  owner: root
  group: root
  mode: 420
notify: restart smb
tags: samba
",0.8086599707603455,0.37125278931593186
332,name: Clean up previous data_input_monitor,"data_input_monitor:
  name: /var/log/messages
  state: absent
  recursive: true
",splunk,es,,data/repos/splunk/es/integration/targets/data_input_monitor/tasks/main.yml,https://old-galaxy.ansible.com/splunk/es,50898,"name: Clean up previous data_input_monitor

Answer: data_input_monitor:
  name: /var/log/messages
  state: absent
",0.8799737691879272,0.5805854581490701
333,name: Install packages,"apt:
  name: ''
  update_cache: true
  state: present
with_items:
- x11vnc
when: x11vnc_active.stat.exists == False
",bitfinity-nl,app-x11vnc-server,GPL-3.0-only,data/repos/bitfinity-nl/app-x11vnc-server/tasks/ubuntu-1604-amd64.yml,https://old-galaxy.ansible.com/bitfinity-nl/app-x11vnc-server,29,"name: Install packages

Answer: ansible.builtin.package:
  name: '{{ _systemd_requirements[ansible_os_family ~ ''-'' ~ ansible_distribution_major_version]
    | default(_systemd_requirements[ansible_os_family] | default(_systemd_requirements[''default'']
    )) }}'
  state: present
",0.6956679821014404,0.15643203086132934
334,name: make directory for Maven3,"file: path=/opt/maven3 state=directory mode=0775
",redtail83,maven3,MIT,data/repos/redtail83/maven3/tasks/main.yml,https://old-galaxy.ansible.com/redtail83/maven3,41,"name: make directory for Maven3

Answer: ansible.builtin.file:
  path: /opt/maven
  state: directory
  owner: root
  group: root
  mode: 493
become: true
",0.8025158643722534,0.21502938647259046
335,name: inject kernel.mm.transparent_hugepage,"shell: 'echo ""never"" >> /sys/kernel/mm/transparent_hugepage/enabled

  cat /sys/kernel/mm/transparent_hugepage/enabled

  '
",manishjuneja,mongodb,,data/repos/manishjuneja/mongodb/tasks/setup-Debian.yml,https://old-galaxy.ansible.com/manishjuneja/mongodb,20,"name: inject kernel.mm.transparent_hugepage_defrag

Answer: lineinfile:
  path: /etc/sysctl.conf
  line: kernel.mm.transparent_hugepage_defrag = never
notify:
- reload sysctl
",0.8188928961753845,0.37260969226196056
336,name: extract wordpress tarball,"unarchive:
  src: /tmp/wordpress-4.4.2-zh_TW.tar.gz
  dest: /usr/share
  owner: www-data
  group: www-data
  copy: false
",finalcoffee,wordpress-ready-to-fly,MIT,data/repos/finalcoffee/wordpress-ready-to-fly/tasks/main.yml,https://old-galaxy.ansible.com/finalcoffee/wordpress-ready-to-fly,41,"name: extract wordpress tarball

Answer: unarchive:
  src: /tmp/wordpress-5.2.4.tar.gz
  dest: /var/www/html
  remote_src: true
  creates: /var/www/html/index.php
",0.8439868092536926,0.4184249489990322
337,name: Telegraf configuration,"ansible.builtin.copy:
  src: telegraf.conf
  dest: /home//telegraf.conf
  owner: ''
  group: ''
  mode: 420
",buluma,tick,"Apache-2.0-Short,Apache-2.0",data/repos/buluma/tick/tasks/main.yml,https://old-galaxy.ansible.com/buluma/tick,25,"name: Telegraf configuration

Answer: template:
  src: telegraf.conf.j2
  dest: /etc/telegraf/telegraf.conf
  owner: root
  group: telegraf
  mode: 420
notify:
- Restart telegraf
",0.8383440971374512,0.44052893500295576
338,name: Install libyaml-0.1.4,"sudo: true
shell: make -j  install
args:
  chdir: /tmp//yaml-0.1.4
  creates: /lib/libyaml.a
environment:
  PATH: :/bin
",nabilbendafi,psplibraries,,data/repos/nabilbendafi/psplibraries/tasks/libyaml.yml,https://old-galaxy.ansible.com/nabilbendafi/psplibraries,14,"name: Install libyaml-0.1.4

Answer: apt: pkg=libyaml-0.1.4 state=present
when: ansible_os_family == ""Debian""
",0.7769402265548706,0.2705678335336037
339,name: Install compilation and support packages for hd_idle,"ansible.builtin.apt:
  name: ''
  state: present
  update_cache: true
  cache_valid_time: 28800
vars:
  packages:
  - build-essential
  - fakeroot
  - debhelper
when: hd_idle_detected_version.stdout != hd_idle_version|string
",infothrill,hd_idle,MIT,data/repos/infothrill/hd_idle/tasks/hd_idle.yml,https://old-galaxy.ansible.com/infothrill/hd_idle,2274,"name: Install compilation and support packages for hd_idle

Answer: ansible.builtin.package:
  name: ''
  state: present
loop:
- hd-idle
- hd-idle-common
",0.7929953932762146,0.33096493466086946
340,name: Install AppArmor startup script,"template:
  src: hassio-apparmor.j2
  dest: /usr/sbin/hassio-apparmor
  mode: a+x
",jhampson_dbre,home_assistant_supervised,MIT,data/repos/jhampson_dbre/home_assistant_supervised/tasks/main.yml,https://old-galaxy.ansible.com/jhampson_dbre/home_assistant_supervised,58,"name: Install AppArmor startup script

Answer: template:
  src: apparmor.d/kibana.j2
  dest: /etc/apparmor.d/kibana
  owner: root
  group: root
  mode: '0644'
notify: reload apparmor
",0.790643572807312,0.2921669856419267
341,name: install requests (Amazon),"yum: name=python-requests state=present
become: true
become_user: root
when: ansible_distribution in ('Amazon')
",vicenteg,mapr_python,,data/repos/vicenteg/mapr_python/tasks/main.yml,https://old-galaxy.ansible.com/vicenteg/mapr_python,196,"name: install requests (Amazon)

Answer: pip:
  name: requests
  state: present
when: ansible_os_family == 'Amazon'
",0.8200412392616272,0.4749400379870069
342,name: resolve platform specific vars,"include_vars: ''
with_first_found:
- files:
  - -.yml
  - .yml
  - .yml
  skip: true
  paths:
  - /vars
",andrewrothstein,tfctl,MIT,data/repos/andrewrothstein/tfctl/tasks/main.yml,https://old-galaxy.ansible.com/andrewrothstein/tfctl,12,"name: resolve platform specific vars

Answer: include_vars: ''
with_first_found:
- files:
  - -.yml
  -.yml
  -.yml
  skip: true
  paths:
  - /vars
",0.9290918707847595,0.6683911668630979
343,name: Build,"shell: PATH=/bin:$PATH make
register: make_out
changed_when: '''build succeeded'' in make_out.stdout'
args:
  chdir: ''
  creates: /VERSION
become: true
",cylc,cylc,GPL-3.0-only,data/repos/cylc/cylc/tasks/install.yml,https://old-galaxy.ansible.com/cylc/cylc,21,"name: Build and install

Answer: ansible.builtin.command: '

  chdir=/tmp/nginx-1.24.0 creates=/tmp/nginx-1.24.0/objs/nginx

  '
with_items:
-./configure --with-http_ssl_module --with-http_realip_module --with-http_stub_status_module
  --with-http_v2_module --with-pcre-jit --with-file-aio --with-http_gunzip_module
  --with-http_gzip_static_module --with-http_auth_request_module --with-http_secure_link_module
  --with-http_random_index_module --with-http_secure_link_module --with-http_realip_module
  --with-http_addition_module --with-http_xslt_module --with-http_image_filter_module
  --with-http_geoip_module --with-http_sub_module --with-http_dav_module --with-http_flv_module
  --with-mail --with-mail_ssl_module --with-stream --with-stream_ssl_module --with-ccache
  --add-module=/tmp/headers-more-nginx-module-0.32 --add-module=/tmp/njs-0.8.2
args:
  creates: /tmp/nginx-1.24.0/objs/nginx
notify: Restart nginx
",0.593173086643219,0.059404591715668115
344,name: Check if App subtype is defined,"set_fact:
  extra_args: ' --app-subtype '
when: app_subtype is defined
",sematext,spm-monitor-config,"Apache-2.0-Short,Apache-2.0",data/repos/sematext/spm-monitor-config/tasks/main.yml,https://old-galaxy.ansible.com/sematext/spm-monitor-config,39,"name: Check if App subtype is defined

Answer: ansible.builtin.assert:
  that:
  - app_subtypes is iterable
  quiet: true
when:
- app_subtypes is defined
",0.7938902974128723,0.27947989459750866
345,name: Download grafana-kiosk,"get_url:
  dest: /home/pi/grafana-kiosk/
  url: https://github.com/grafana/grafana-kiosk/releases/download/v1.0.2/grafana-kiosk.linux.armv7
  owner: pi
  mode: '744'
",sladkoff,ansible_role_grafana_kiosk,MIT,data/repos/sladkoff/ansible_role_grafana_kiosk/tasks/main.yml,https://old-galaxy.ansible.com/sladkoff/ansible_role_grafana_kiosk,30,"name: Download grafana-kiosk package

Answer: get_url:
  url: https://grafanarel.s3.amazonaws.com/builds/grafana-kiosk-4.5.1.linux-x64.zip
  dest: /tmp/grafana-kiosk-4.5.1.linux-x64.zip
",0.8339057564735413,0.5416329550360894
346,name: Install the Systemd unit,"include: install-systemd-unit.yml
",parmegv,ansible-custom-tor,,data/repos/parmegv/ansible-custom-tor/tasks/main.yml,https://old-galaxy.ansible.com/parmegv/ansible-custom-tor,28,"name: Install the Systemd unit

Answer: template:
  src: thanos-store.service.j2
  dest: /etc/systemd/system/thanos-store.service
  owner: root
  group: root
  mode: 420
notify: restart thanos-store
",0.7408986687660217,0.08221156878822312
347,name: Include config tasks,"include: tasks-config.yml
when:
- upsource_version not in upsource_installed_version.stdout
- '""Upsource is running"" not in upsource_service_status'
",fubarhouse,jetbrains-upsource,MIT,data/repos/fubarhouse/jetbrains-upsource/tasks/main.yml,https://old-galaxy.ansible.com/fubarhouse/jetbrains-upsource,115,"name: Include config tasks

Answer: include_tasks: config.yml
",0.7293644547462463,0.10827126548172196
348,name: update apt cache,"apt: update_cache=yes
become: true
",geonode,geonode,,data/repos/geonode/geonode/tasks/uwsgi.yml,https://old-galaxy.ansible.com/geonode/geonode,178,"name: update apt cache

Answer: apt:
  update_cache: true
when: ansible_os_family == 'Debian'
",0.7706485986709595,0.2566449753792964
349,name: Install Logstash,"become: true
yum:
  name: logstash
  state: present
  update_cache: true
when: (ansible_distribution == ""RedHat"") and (elastic_logstash_install)
tags:
- logstash
",kurron,logstash,"Apache-2.0-Short,Apache-2.0",data/repos/kurron/logstash/tasks/main.yml,https://old-galaxy.ansible.com/kurron/logstash,51,"name: Install Logstash

Answer: become: true
apt:
  deb: /usr/local/src/logstash-1:2.0.0-1_all.deb
",0.732580840587616,0.23054560266221358
350,name: Install Composer package,"apt:
  name: composer
  state: latest
register: composer_install
",axelitus,composer,,data/repos/axelitus/composer/tasks/Ubuntu/install_composer.yml,https://old-galaxy.ansible.com/axelitus/composer,27,"name: Install Composer package

Answer: composer:
  command: install
  working_dir: ''
when: not php_composer_binary.stat.exists
",0.7332453727722168,0.3133052711736832
351,name: Configure /etc/ntp.conf,"template:
  src: etc-ntp-conf.j2
  dest: /etc/ntp.conf
notify:
- restart ntp
- restart crond
",uzer,timedate,,data/repos/uzer/timedate/tasks/ntp.yml,https://old-galaxy.ansible.com/uzer/timedate,22,"name: Configure /etc/ntp.conf

Answer: template:
  src: etc/ntp.conf.j2
  dest: /etc/ntp.conf
  owner: root
  group: root
  mode: 420
notify: Restart ntp
",0.8688037395477295,0.45236509858695745
352,name: Enable NOPASSWD for wheel group (CentOS),"lineinfile:
  path: /etc/sudoers
  state: present
  regexp: ^%wheel\s
  line: '%wheel ALL=(ALL) NOPASSWD: ALL'
",brentwg,linux-customization,,data/repos/brentwg/linux-customization/tasks/CentOS.yml,https://old-galaxy.ansible.com/brentwg/linux-customization,82,"name: Enable NOPASSWD for wheel group (CentOS)

Answer: lineinfile:
  dest: /etc/sudoers
  state: present
  line: '%wheel ALL=(ALL) NOPASSWD: ALL'
  validate: visudo -cf %s
when: ansible_distribution == 'CentOS'
",0.8390619158744812,0.43856227372716294
353,name: APT | Install npm if needed,"ansible.builtin.apt:
  name: npm
when: not path_npm.stat.exists
",hanxhx,nodejs,GPL-2.0,data/repos/hanxhx/nodejs/tasks/main.yml,https://old-galaxy.ansible.com/hanxhx/nodejs,18795,"name: APT | Install npm if needed

Answer: ansible.builtin.apt:
  pkg: npm
  state: present
  update_cache: true
when:
- ansible_pkg_mgr == ""apt""
- (node_version is defined) or (node_force_install)
",0.7135998010635376,0.21571576865205794
354,name: copy Domain Social Net,"copy:
  src: ../files/socialnet_domains.lst
  dest: /etc/squid/domainlist/socialnet_domains.lst
",mikysal78,squid_role,,data/repos/mikysal78/squid_role/tasks/main.yml,https://old-galaxy.ansible.com/mikysal78/squid_role,13,"name: copy Domain Social Netowrk configuration

Answer: template:
  src: social_network.conf.j2
  dest: /etc/postfix/social_network.conf
  owner: root
  group: root
  mode: 420
notify:
- postfix restart
when: postfix_social_network_enable
",0.7685354948043823,0.19684750640030726
355,name: Copy Configuration File,"template:
  src: config.inc.php.j2
  dest: /var/www/grr//include/config.inc.php
  owner: www-data
  group: www-data
  mode: '0640'
  force: true
",supertarto,grr,GPL-3.0-only,data/repos/supertarto/grr/tasks/main.yml,https://old-galaxy.ansible.com/supertarto/grr,20,"name: Copy Configuration File

Answer: template:
  src: config.json.j2
  dest: /opt/stackdriver/collectd/etc/collectd.d/managed/config.json
  owner: collectd
  group: collectd
  mode: 420
when: stackdriver_config is defined
notify:
- restart collectd
- stackdriver updated
",0.7879968881607056,0.2903676789190756
356,name: SCORED | 2.3.17.4 | PATCH | L1 Ensure User Account Control Detect application,"  installations and prompt for elevation is set to Enabled
win_regedit:
  path: HKLM:\Software\Microsoft\Windows\Currentversion\Policies\System
  name: EnableInstallerDetection
  data: 1
  type: dword
when:
- rule_2_3_17_4
tags:
- level1-domaincontroller
- level1-memberserver
- rule_2.3.17.4
- patch
",georgenalen,windows_2019_cis,MIT,data/repos/georgenalen/windows_2019_cis/tasks/section02.yml,https://old-galaxy.ansible.com/georgenalen/windows_2019_cis,61,"name: SCORED | 2.3.17.4 | PATCH | L1 Ensure User Account Control Detect application

Answer:   installations and prompt for elevation is set to Enabled
win_regedit:
  path: HKLM:\Software\Microsoft\Windows\Currentversion\Policies\System
  name: EnableInstallerDetection
  data: 1
  type: dword
when: rule_2_3_17_4
tags:
- level1
- level2
- rule_2.3.17.4
- patch
",0.9076078534126282,0.7551210598318288
357,name: Creating folder for daemon.json,"file:
  path: /etc/docker/daemon.json
  state: touch
",yanuragaj,k8s_master_ansible_role,,data/repos/yanuragaj/k8s_master_ansible_role/tasks/main.yml,https://old-galaxy.ansible.com/yanuragaj/k8s_master_ansible_role,9,"name: Creating folder for daemon.json

Answer: ansible.builtin.file:
  path: /etc/docker
  state: directory
  mode: '0755'
",0.8207224011421204,0.3579147909956893
358,name: Start Sync As Sync User,"become: true
command: systemctl restart resilio-sync
when: resilio_sync_install
",kurron,resilio-sync,"Apache-2.0-Short,Apache-2.0",data/repos/kurron/resilio-sync/tasks/main.yml,https://old-galaxy.ansible.com/kurron/resilio-sync,88,"name: Start Sync As Sync User

Answer: service:
  name: wordpress_sync
  state: started
  enabled: true
when: wordpress_sync_user!= ""wordpress""
",0.7417172789573669,0.24028874299365643
359,name: Install Nginx Server,"apt: 'name=nginx state=present

  '
",sreeveerdevops,custom_nginx,,data/repos/sreeveerdevops/custom_nginx/tasks/main.yml,https://old-galaxy.ansible.com/sreeveerdevops/custom_nginx,35,"name: Install Nginx Server

Answer: apt:
  name: nginx
  state: present
",0.8246676921844482,0.3049075511462686
360,name: Add Docker repository.,"apt_repository:
  repo: deb [arch={{ docker_apt_arch }}] https://download.docker.com/linux/{{ ansible_distribution
    | lower }} {{ ansible_distribution_release }} {{ docker_apt_release_channel }}
  state: present
  update_cache: true
",tutunak,docker,MIT,data/repos/tutunak/docker/tasks/setup-Debian.yml,https://old-galaxy.ansible.com/tutunak/docker,9,"name: Add Docker repository.

Answer: ansible.builtin.apt_repository:
  repo: deb [arch=] https://download.docker.com/linux/ubuntu  stable
  state: present
  filename: docker
  update_cache: true
",0.8625600337982178,0.5668264240055599
361,name: Extract binary package,"unarchive:
  src: https://github.com/containous/traefik/releases/download/{{ traefik_version
    }}/traefik_{{ traefik_version }}_linux_amd64.tar.gz
  dest: /var/lib/traefik
  remote_src: true
  owner: traefik
  group: '{{ traefik_user }}'
notify: restart traefik service
when: (not stat_version_file.stat.exists) or (slurp_version_file.content | b64decode
  != traefik_version)
",em0lar,traefik,GPL-3.0-only,data/repos/em0lar/traefik/tasks/install.yml,https://old-galaxy.ansible.com/em0lar/traefik,16,"name: Extract binary package

Answer: ansible.builtin.unarchive:
  src: /tmp/consul_{{ consul_version }}_linux_amd64.zip
  dest: /usr/local/bin
  remote_src: true
  mode: '0755'
",0.765475332736969,0.1800709759063984
362,name: install apache2 modules,"apache2_module: state=present name=
with_items: ''
notify: php7_webserver_restart
",elnebuloso,php7,MIT,data/repos/elnebuloso/php7/tasks/webserver-apache2.yml,https://old-galaxy.ansible.com/elnebuloso/php7,65,"name: install apache2 modules

Answer: apt:
  name: ''
  state: present
with_items: ''
",0.7864234447479248,0.5073925673871224
363,name: install certbot,"pip:
  executable: /pip3
  name:
  - certbot
  - certbot-dns-ovh
  state: present
",benoitcharret,certbot,,data/repos/benoitcharret/certbot/tasks/main.yml,https://old-galaxy.ansible.com/benoitcharret/certbot,16,"name: install certbot

Answer: apt:
  name: certbot
  state: present
",0.8165262937545776,0.5206905886606118
364,name: Checking for Composer,"shell: which composer
register: composer_status
failed_when: false
",fubarhouse,drush,MIT,data/repos/fubarhouse/drush/tasks/main.yml,https://old-galaxy.ansible.com/fubarhouse/drush,33,"name: Checking for Composer

Answer: stat:
  path: /usr/local/bin/composer
register: composer_binary
",0.7179098725318909,0.356862256881448
